"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"183","ENSG00000135744","","angiotensinogen(AGT)","Homo sapiens"
"185","ENSG00000144891","","angiotensin II receptor type 1(AGTR1)","Homo sapiens"
"186","ENSG00000180772","","angiotensin II receptor type 2(AGTR2)","Homo sapiens"
"187","ENSG00000134817","","apelin receptor(APLNR)","Homo sapiens"
"189","ENSG00000172482","","alanine--glyoxylate aminotransferase(AGXT)","Homo sapiens"
"190","ENSG00000169297","","nuclear receptor subfamily 0 group B member 1(NR0B1)","Homo sapiens"
"191","ENSG00000101444","","adenosylhomocysteinase(AHCY)","Homo sapiens"
"196","ENSG00000106546","","aryl hydrocarbon receptor(AHR)","Homo sapiens"
"197","ENSG00000145192","","alpha 2-HS glycoprotein(AHSG)","Homo sapiens"
"199","ENSG00000204472","","allograft inflammatory factor 1(AIF1)","Homo sapiens"
"202","ENSG00000112297","","crystallin beta-gamma domain containing 1(CRYBG1)","Homo sapiens"
"203","ENSG00000106992","","adenylate kinase 1(AK1)","Homo sapiens"
"204","ENSG00000004455","","adenylate kinase 2(AK2)","Homo sapiens"
"205","ENSG00000162433","","adenylate kinase 4(AK4)","Homo sapiens"
"207","ENSG00000142208","","AKT serine/threonine kinase 1(AKT1)","Homo sapiens"
"208","ENSG00000105221","","AKT serine/threonine kinase 2(AKT2)","Homo sapiens"
"210","ENSG00000148218","","aminolevulinate dehydratase(ALAD)","Homo sapiens"
"211","ENSG00000023330","","5'-aminolevulinate synthase 1(ALAS1)","Homo sapiens"
"212","ENSG00000158578","","5'-aminolevulinate synthase 2(ALAS2)","Homo sapiens"
"213","ENSG00000163631","","albumin(ALB)","Homo sapiens"
"214","ENSG00000170017","","activated leukocyte cell adhesion molecule(ALCAM)","Homo sapiens"
"215","ENSG00000101986","","ATP binding cassette subfamily D member 1(ABCD1)","Homo sapiens"
"216","ENSG00000165092","","aldehyde dehydrogenase 1 family member A1(ALDH1A1)","Homo sapiens"
"217","ENSG00000111275","","aldehyde dehydrogenase 2 family member(ALDH2)","Homo sapiens"
"218","ENSG00000108602","","aldehyde dehydrogenase 3 family member A1(ALDH3A1)","Homo sapiens"
"219","ENSG00000137124","","aldehyde dehydrogenase 1 family member B1(ALDH1B1)","Homo sapiens"
"220","ENSG00000184254","","aldehyde dehydrogenase 1 family member A3(ALDH1A3)","Homo sapiens"
"221","ENSG00000006534","","aldehyde dehydrogenase 3 family member B1(ALDH3B1)","Homo sapiens"
"222","ENSG00000132746","","aldehyde dehydrogenase 3 family member B2(ALDH3B2)","Homo sapiens"
"223","ENSG00000143149","","aldehyde dehydrogenase 9 family member A1(ALDH9A1)","Homo sapiens"
"224","ENSG00000072210","","aldehyde dehydrogenase 3 family member A2(ALDH3A2)","Homo sapiens"
"225","ENSG00000173208","","ATP binding cassette subfamily D member 2(ABCD2)","Homo sapiens"
"226","ENSG00000149925","","aldolase, fructose-bisphosphate A(ALDOA)","Homo sapiens"
"229","ENSG00000136872","","aldolase, fructose-bisphosphate B(ALDOB)","Homo sapiens"
"230","ENSG00000109107","","aldolase, fructose-bisphosphate C(ALDOC)","Homo sapiens"
"231","ENSG00000085662","","aldo-keto reductase family 1 member B(AKR1B1)","Homo sapiens"
"238","ENSG00000171094","","ALK receptor tyrosine kinase(ALK)","Homo sapiens"
"239","ENSG00000108839","","arachidonate 12-lipoxygenase, 12S type(ALOX12)","Homo sapiens"
"240","ENSG00000012779","","arachidonate 5-lipoxygenase(ALOX5)","Homo sapiens"
"241","ENSG00000132965","","arachidonate 5-lipoxygenase activating protein(ALOX5AP)","Homo sapiens"
"242","ENSG00000179477","","arachidonate 12-lipoxygenase, 12R type(ALOX12B)","Homo sapiens"
"246","ENSG00000161905","","arachidonate 15-lipoxygenase(ALOX15)","Homo sapiens"
"247","ENSG00000179593","","arachidonate 15-lipoxygenase type B(ALOX15B)","Homo sapiens"
"248","ENSG00000163295","","alkaline phosphatase, intestinal(ALPI)","Homo sapiens"
"249","ENSG00000162551","","alkaline phosphatase, biomineralization associated(ALPL)","Homo sapiens"
"250","ENSG00000163283","","alkaline phosphatase, placental(ALPP)","Homo sapiens"
"251","ENSG00000163286","","alkaline phosphatase, germ cell(ALPG)","Homo sapiens"
"257","ENSG00000156150","","ALX homeobox 3(ALX3)","Homo sapiens"
"258","ENSG00000178522","","ameloblastin(AMBN)","Homo sapiens"
"259","ENSG00000106927","","alpha-1-microglobulin/bikunin precursor(AMBP)","Homo sapiens"
"262","ENSG00000123505","","adenosylmethionine decarboxylase 1(AMD1)","Homo sapiens"
"265","ENSG00000125363","","amelogenin X-linked(AMELX)","Homo sapiens"
"266","ENSG00000099721","","amelogenin Y-linked(AMELY)","Homo sapiens"
"267","ENSG00000159461","","autocrine motility factor receptor(AMFR)","Homo sapiens"
"268","ENSG00000104899","","anti-Mullerian hormone(AMH)","Homo sapiens"
"269","ENSG00000135409","","anti-Mullerian hormone receptor type 2(AMHR2)","Homo sapiens"
"270","ENSG00000116748","","adenosine monophosphate deaminase 1(AMPD1)","Homo sapiens"
"271","ENSG00000116337","","adenosine monophosphate deaminase 2(AMPD2)","Homo sapiens"
"272","ENSG00000133805","","adenosine monophosphate deaminase 3(AMPD3)","Homo sapiens"
"273","ENSG00000078053","","amphiphysin(AMPH)","Homo sapiens"
"274","ENSG00000136717","","bridging integrator 1(BIN1)","Homo sapiens"
"275","ENSG00000145020","","aminomethyltransferase(AMT)","Homo sapiens"
"276","ENSG00000237763","","amylase alpha 1A(AMY1A)","Homo sapiens"
"277","ENSG00000174876","","amylase alpha 1B(AMY1B)","Homo sapiens"
"278","ENSG00000187733","","amylase alpha 1C(AMY1C)","Homo sapiens"
"279","ENSG00000243480","","amylase alpha 2A(AMY2A)","Homo sapiens"
"280","ENSG00000240038","","amylase alpha 2B(AMY2B)","Homo sapiens"
"281","ENSG00000227408","","amylase alpha pseudogene 1(AMYP1)","Homo sapiens"
"283","ENSG00000214274","","angiogenin(ANG)","Homo sapiens"
