gene_ID	counts	Control1	Control2	Control3
84962	AICDA	0	0	0
203	AIDA	17	25	48
204	AIF1	0	0	0
50808	AIF1L	216	214	355
205	AIFM1	520	486	871
26289	AIFM2	7	5	8
102157402	AIFM3	29	33	47
122481	AIG1	118	96	243
158067	AIM2	0	0	0
221264	AIMP1	371	391	724
642597	AIMP2	28	25	30
8165	AIP	166	133	263
11216	AIPL1	0	0	0
11215	AIRE	0	0	0
9590	AIRN	5	3	8
11214	AJAP1	0	0	0
158798	AJUBA	33	26	74
8227	AK1	188	143	202
10566	AK2	508	419	670
8852	AK3	178	136	266
9495	AK4	821	611	1229
9472	AK5	8	4	6
9465	AK6	124	64	169
10270	AK7	70	75	130
26993	AK8	0	0	0
10142	AK9	27	12	55
56672	AKAIN1	0	0	0
79647	AKAP1	327	258	470
55122	AKAP10	97	100	134
80709	AKAP11	314	281	489
254268	AKAP12	2552	2522	3770
10327	AKAP13	250	263	331
231	AKAP14	1	1	5
57016	AKAP17A	0	0	0
441282	AKAP2	0	0	0
1645	AKAP3	2	1	2
1646	AKAP4	0	0	0
8644	AKAP5	38	29	55
1109	AKAP6	26	15	38
389932	AKAP7	9	11	23
6718	AKAP8	190	214	389
83592	AKAP8L	165	152	211
8574	AKAP9	6207	5488	10833
246182	AKIP1	125	107	209
22977	AKIRIN1	215	157	336
246181	AKIRIN2	64	50	85
207	AKNA	39	28	53
84335	AKNAD1	0	0	1
208	AKR1A1	179	197	330
10000	AKR1B1	0	1	0
64400	AKR1B10	0	0	0
210	AKR1B15	0	0	0
211	AKR1C1	7	3	11
212	AKR1C2	19	18	46
213	AKR1C3	265	146	313
214	AKR1C4	3	1	3
126133	AKR1C6P	0	1	0
5832	AKR1C8P	0	0	0
216	AKR1D1	0	0	0
8854	AKR1E2	1	3	0
220	AKR7A2	468	431	532
219	AKR7A2P1	3	0	0
10840	AKR7A3	39	38	60
100874204	AKR7L	31	29	61
100862662	AKT1	360	172	553
160428	AKT1S1	558	366	597
217	AKT2	1632	1621	2127
218	AKT3	12	2	7
224	AKTIP	27	23	32
221	ALAD	39	47	76
222	ALAS1	191	162	318
8659	ALAS2	0	1	2
7915	ALB	6	6	18
4329	ALCAM	2660	2193	3761
501	ALDH16A1	106	91	158
64577	ALDH18A1	149	82	259
223	ALDH1A1	32	39	62
226	ALDH1A2	0	0	0
229	ALDH1A3	2	2	5
230	ALDH1B1	48	44	91
56052	ALDH1L1	0	0	0
84920	ALDH1L1-AS1	0	0	0
144245	ALDH1L1-AS2	0	0	0
440138	ALDH1L2	99	111	134
79087	ALDH2	1	2	3
79868	ALDH3A1	0	0	2
199857	ALDH3A2	6638	5998	9264
644974	ALDH3B1	26	32	19
285407	ALDH3B2	0	0	5
85365	ALDH4A1	241	249	303
10195	ALDH5A1	244	226	325
29880	ALDH6A1	794	577	1056
29929	ALDH7A1	87	55	129
79053	ALDH8A1	3	7	8
79796	ALDH9A1	650	589	1141
238	ALDOA	1563	1300	2181
389658	ALDOB	0	0	1
285016	ALDOC	149	170	202
8846	ALG1	10	17	29
121642	ALG10	43	28	84
221120	ALG10B	239	149	423
100507300	ALG11	347	343	485
54784	ALG12	113	91	138
54890	ALG13	112	89	153
84964	ALG14	36	32	67
84266	ALG1L	0	1	1
91801	ALG1L2	0	1	0
55821	ALG1L9P	3	3	3
7840	ALG2	163	130	267
100874291	ALG3	236	190	262
200420	ALG5	467	363	603
239	ALG6	104	76	147
100506713	ALG8	156	172	327
242	ALG9	91	81	130
245	ALK	2	1	0
246	ALKAL1	0	0	0
247	ALKAL2	1	2	5
100652883	ALKBH1	30	12	32
240	ALKBH2	104	58	115
241	ALKBH3	94	106	154
59344	ALKBH3-AS1	1	0	4
248	ALKBH4	43	43	53
80216	ALKBH5	431	280	621
115701	ALKBH6	209	106	267
57538	ALKBH7	112	81	149
249	ALKBH8	95	83	164
250	ALLC	0	0	0
57679	ALMS1	195	146	270
259173	ALMS1-IT1	20	8	27
8092	ALMS1P1	5	3	7
257	ALOX12	0	0	1
60529	ALOX12-AS1	1	6	6
10189	ALOX12B	6	10	10
23600	ALOX12P2	0	0	0
258	ALOX15	0	0	1
259	ALOX15B	14	19	13
55626	ALOX15P1	0	0	0
262	ALOX5	0	0	1
144193	ALOX5AP	0	0	0
51005	ALOXE3	9	18	33
265	ALPI	0	0	0
266	ALPK1	134	107	175
139285	ALPK2	0	0	0
219287	ALPK3	82	60	101
205147	ALPL	5	3	10
267	ALPP	0	0	0
268	ALPPL2	0	0	0
269	ALS2	63	61	119
57463	ALS2CL	3	6	8
347902	ALS2CR12	3	0	6
386724	ALX1	0	0	1
9949	ALX3	1	0	0
83607	ALX4	7	4	9
81693	ALYREF	567	383	594
196394	AMACR	18	13	21
154796	AMBN	0	0	0
154810	AMBP	101	90	175
51421	AMBRA1	74	63	91
270	AMD1	1978	1366	3379
271	AMDHD1	2	1	2
272	AMDHD2	83	50	79
273	AMELX	1	0	0
275	AMELY	0	0	0
401138	AMER1	8	8	10
276	AMER2	0	1	5
277	AMER3	62	50	77
278	AMFR	145	83	199
279	AMH	11	8	9
280	AMHR2	23	20	45
155185	AMIGO1	3	3	10
51321	AMIGO2	1	0	3
201283	AMIGO3	26	21	51
64682	AMMECR1	284	202	469
10393	AMMECR1L	75	49	128
51529	AMN	2	2	3
25847	AMN1	58	27	98
25906	AMOT	154	108	212
119504	AMOTL1	12	7	12
100286979	AMOTL2	44	25	67
29882	AMPD1	0	0	0
29945	AMPD2	69	42	82
51433	AMPD3	2	5	10
51434	AMPH	0	2	6
283	AMT	18	7	13
23357	AMTN	0	0	0
90806	AMY1A	0	0	0
284	AMY1B	0	0	0
285	AMY1C	0	0	0
51378	AMY2A	0	0	0
9068	AMY2B	4	2	1
23452	AMZ1	9	4	6
27329	AMZ2	105	106	187
51129	AMZ2P1	12	11	15
253935	ANAPC1	45	16	61
83854	ANAPC10	43	37	62
10218	ANAPC11	1310	1192	2102
55908	ANAPC13	239	190	305
647589	ANAPC15	21	16	24
