gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
28985	ENSG00000232119	MCTS1	8.055884457	8.550003229	8.12610137	7.711365662	6.904775276	5.778721437	6.076429664	5.980162112	8.882272715	8.197196464	8.292511954	7.052551592
391475	ENSG00000232125	DYTN	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000232196	MTRNR2L4	0	0	0	0	0	0.034781471	0	0	0	0	0.040896027	0.043811989
647219	ENSG00000232237	ASCL5	0.056466238	0.057037426	0.03739045	0.037182611	0.017916494	0.035585881	0.037610847	0	0.04482442	0.105845624	0.041842637	0.112030572
283953	ENSG00000232258	TMEM114	0	0	0	0	0	0	0	0	0	0	0	0
100131902	ENSG00000232263	KRTAP25-1	0	0	0	0	0	0	0	0	0	0	0	0
728369	ENSG00000232264	USP17L24	0	0	0	0	0	0	0	0	0	0	0	0
390037	ENSG00000232268	OR52I1	0	0	0	0	0	0	0	0	0	0	0	0
26339	ENSG00000232382	OR5K1	0	0	0	0	0	0	0	0	0	0	0	0.016917976
388789	ENSG00000232388	SMIM26	5.670156176	6.065116489	6.036804371	5.93157684	8.780508464	4.134313592	8.554243483	6.857302537	6.309666074	6.085809666	7.497247629	8.823409681
100287238	ENSG00000232399	USP17L13	0	0	0	0	0	0.018741576	0	0	0	0	0	0
440561	ENSG00000232423	PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
389813	ENSG00000232434	AJM1	1.227018479	1.045429961	0.748869712	0.861741063	4.656064632	2.921034255	4.283883285	3.228137179	1.900927957	2.294644713	1.74184604	1.460677387
102723508	ENSG00000232593	KANTR	1.259311939	0.966153074	1.469125725	1.261793244	0.118694315	0.263944927	0.059354725	0.300379972	0.247531112	0.320703246	0.105646245	0.134354756
3120	ENSG00000232629	HLA-DQB2	0	0	0	0	0	0	0	0	0	0	0	0
643699	ENSG00000232653	GOLGA8N	0.04352377	0.168558518	0.057642735	0.121846866	0.048320976	0.144023984	0.036243562	0.208435972	0.172744273	0.261100922	0.282230417	0.06045311
7124	ENSG00000232810	TNF	1.509142774	3.283747902	0.960860313	1.338080283	0.478662776	0.073167629	0.115996698	0.088944145	0	0	0	0
100303755	ENSG00000232838	PET117	4.945076017	7.981630764	8.637870611	7.974365973	7.571840724	6.98576987	6.531576938	5.879266373	8.256256634	8.438999646	8.845300238	8.525696316
201229	ENSG00000232859	LYRM9	0.096367981	0.202819406	0.047855195	0.095210221	0.649507479	0.364417492	0.457387679	0.249193657	0.095612543	0.10838792	0.169600573	0.086038169
245940	ENSG00000232948	DEFB130A	0	0	0	0	0	0	0	0	0	0	0	0
105376752	ENSG00000233024	AC126755.2	2.109814336	2.170174087	1.803472612	2.248706579	9.81868187	7.531244861	9.582724202	7.87682203	2.496735497	2.315521352	2.330958213	2.176717522
644844	ENSG00000233041	PHGR1	0	0	0	0	0	0	0	0	0	0	0	0
100133267	ENSG00000233050	DEFB130B	0	0	0	0	0	0	0	0	0	0	0	0
150786	ENSG00000233087	RAB6D	2.374296624	2.268937424	2.485755673	2.197845338	1.424704192	2.85133646	0.833575231	2.581236339	1.884571	1.684124973	1.40279433	0.942141729
100287178	ENSG00000233136	USP17L11	0	0	0	0	0.037742027	0.018741576	0.059452742	0.068392453	0.070843414	0.089229443	0.066131048	0.118060352
643596	ENSG00000233198	RNF224	0.180357892	0.072890084	0.107492344	0	0.034338286	0	0.14416794	0.041475491	0.085909317	0.202860968	0.16038902	0.085869549
440350	ENSG00000233232	NPIPB7	0	0	0.03073652	0	0.088338104	0	0.092753085	0	0	0	0	0
403274	ENSG00000233412	OR5H15	0	0	0	0	0	0	0	0	0	0	0	0
643376	ENSG00000233436	BTBD18	0	0	0	0	0	0	0	0	0	0	0	0
388564	ENSG00000233493	TMEM238	1.037669482	1.375856784	1.159499583	1.409639171	1.357644766	0.306542845	1.231266288	0.745351939	2.470886722	1.240084859	1.802191282	1.466885224
117581	ENSG00000233608	TWIST2	6.665024286	6.035496877	10.46180027	9.280362282	8.510668798	5.027854513	10.00713311	6.905897071	0.945682515	1.359495985	1.343524987	0.904406494
644139	ENSG00000233670	PIRT	0	0	0	0	0	0	0	0	0	0	0	0
389152	ENSG00000233701	PRR23C	0	0	0	0	0	0	0	0	0	0.026142508	0	0
344065	ENSG00000233757	AC092835.1	2.259644267	1.784239033	2.63139081	2.797060592	0	0.220985477	0.025952539	0.50746337	0	0	0	0
729384	ENSG00000233802	TRIM49D2	0	0	0	0	0	0	0	0.028528284	0	0	0	0.029532029
728395	ENSG00000233803	TSPY4	0	0	0	0	0	0	0	0	0	0	0	0
3447	ENSG00000233816	IFNA13	0	0	0	0	0	0	0	0	0	0	0	0
8341	ENSG00000233822	HIST1H2BN	0.140800067	0.312943673	0.279710611	0.324594377	1.536285595	2.617971186	1.463241622	2.276322856	0.167637992	0.253391472	0.198247826	0.312886014
100996331	ENSG00000233917	POTEB	0	0	0	0	0	0	0	0.022056472	0	0	0	0
6234	ENSG00000233927	RPS28	0.622978836	0.447175404	0.700193473	0.599296985	28.51536379	23.68235418	38.66010399	22.30803219	26.81873785	24.67188066	25.31135592	30.01549986
399697	ENSG00000233932	CTXN2	0.045863096	0	0	0	0	0.021670775	0	0	0	0	0	0
440567	ENSG00000233954	UQCRHL	15.44015292	15.14738612	16.07474226	14.49047609	20.83436289	15.69406546	28.24063995	14.77041545	21.50009505	21.31500017	24.04070951	29.53623797
203569	ENSG00000234068	PAGE2	0	0	0	0.083094213	0	0	0	0	0	0	0	0
7726	ENSG00000234127	TRIM26	20.83351617	8.150517679	6.880510958	8.063233523	23.74088138	18.43138016	8.787098043	17.49581018	15.30987931	13.37851713	4.829762038	19.27038528
730130	ENSG00000234224	TMEM229A	0	0	0	0	0	0	0	0	0	0.06922556	0	0
729250	ENSG00000234278	PRR20E	0	0	0	0	0	0	0	0	0	0	0	0
345462	ENSG00000234284	ZNF879	0.02798292	0	0	0	0.133135306	0.648194102	0.139813352	0.353780856	0	0	0	0
54145	ENSG00000234289	H2BFS	4.652653883	6.979081041	10.08274401	14.06870676	41.85579879	25.72509936	41.27784008	33.54124748	6.210890513	8.880431736	9.089437997	13.5947788
388849	ENSG00000234409	CCDC188	0	0	0	0	2.937034896	1.377084935	2.599138894	2.152393556	0	0	0	0
5940	ENSG00000234414	RBMY1A1	0	0	0	0	0	0	0	0	0	0	0	0
390594	ENSG00000234438	KBTBD13	0	0	0	0	0	0	0	0	0	0.052987466	0.052330282	0
728927	ENSG00000234444	ZNF736	0.016005812	0.010780322	0.015897938	0.015809568	0	0.025215336	0	0.030658362	0.374741257	0.09600404	0.09487914	0.127011758
390940	ENSG00000234465	PINLYP	0	0.124006921	0	0.080853601	0.025955085	0.07736842	0.109027952	0	0.016234072	0	0	0
100288814	ENSG00000234469	CLDN34	0.130352597	0	0	0	0	0	0	0	0	0	0	0
133874	ENSG00000234511	C5orf58	0	0	0	0	0	0	0	0	0	0	0	0
