"Entrez_ID"	"Gene_symbol"	"Gene_name"	"mRNA_size"	"Frag_count"	"FPM"	"FPKM"
83482	"SCRT1"	"scratch family transcriptional repressor 1"	3779	2551	108.1719108	28.62448024
83483	"PLVAP"	"plasmalemma vesicle associated protein"	2305	0	0	0
83538	"TTC25"	"tetratricopeptide repeat domain 25"	2500	54	2.289801327	0.915920531
83539	"CHST9"	"carbohydrate sulfotransferase 9"	11522	824	34.9406721	3.032517974
83540	"NUF2"	"NUF2, NDC80 kinetochore complex component"	3362	870	36.8912436	10.97300523
83541	"FAM110A"	"family with sequence similarity 110 member A"	2007	1217	51.60533731	25.71267429
83543	"AIF1L"	"allograft inflammatory factor 1 like"	5299	1477	62.63030666	11.81926904
83544	"DNAL1"	"dynein axonemal light chain 1"	8884	860	36.46720631	4.10481836
83546	"RTBDN"	"retbindin"	2675	94	3.985950458	1.490074937
83547	"RILP"	"Rab interacting lysosomal protein"	4206	151	6.402962969	1.522340221
83548	"COG3"	"component of oligomeric golgi complex 3"	5704	1226	51.98697086	9.114125326
83549	"UCK1"	"uridine-cytidine kinase 1"	2688	1297	54.99763557	20.4604299
83550	"GPR101"	"G protein-coupled receptor 101"	1527	0	0	0
83551	"TAAR8"	"trace amine associated receptor 8"	1029	0	0	0
83590	"TMUB1"	"transmembrane and ubiquitin like domain containing 1"	2005	2203	93.41541338	46.59122862
83591	"THAP2"	"THAP domain containing 2"	6527	66	2.798646066	0.428779848
83592	"AKR1E2"	"aldo-keto reductase family 1 member E2"	2417	35	1.48413049	0.614038266
83593	"RASSF5"	"Ras association domain family member 5"	6654	1235	52.36860442	7.870244126
83594	"NUDT12"	"nudix hydrolase 12"	4304	699	29.64020606	6.886664977
83595	"SOX7"	"SRY-box 7"	3701	30	1.272111848	0.343721115
83596	"BCL2L12"	"BCL2 like 12"	2216	170	7.208633806	3.252993595
83597	"RTP3"	"receptor transporter protein 3"	1321	0	0	0
83598	"LRRC2-AS1"	"LRRC2 antisense RNA 1"	633	0	0	0
83604	"TMEM47"	"transmembrane protein 47"	4054	31	1.314515576	0.324251499
83605	"CCM2"	"CCM2 scaffold protein"	8196	694	29.42818742	3.590554834
83606	"GUCD1"	"guanylyl cyclase domain containing 1"	4529	2695	114.2780477	25.23251219
83607	"AMMECR1L"	"AMMECR1 like"	4761	718	30.4458769	6.39484917
83608	"C18orf21"	"chromosome 18 open reading frame 21"	2158	300	12.72111848	5.894864913
83636	"C19orf12"	"chromosome 19 open reading frame 12"	5378	801	33.96538635	6.31561665
83637	"ZMIZ2"	"zinc finger MIZ-type containing 2"	7339	2481	105.2036498	14.3348753
83638	"C11orf68"	"chromosome 11 open reading frame 68"	1619	625	26.50233017	16.36956774
83639	"TEX101"	"testis expressed 101"	1597	29	1.22970812	0.770011346
83640	"RAMMET"	"RNMT activating mRNA cap methyltransferase subunit"	1568	562	23.83089529	15.19827506
83641	"FAM107B"	"family with sequence similarity 107 member B"	7019	1982	84.04418943	11.97381243
83642	"SELENOO"	"selenoprotein O"	2363	456	19.33610009	8.182860809
83643	"CCDC3"	"coiled-coil domain containing 3"	3683	285	12.08506256	3.28130941
83648	"FAM167A"	"family with sequence similarity 167 member A"	5033	47	1.992975229	0.395981567
83650	"SLC35G5"	"solute carrier family 35 member G5"	1321	0	0	0
83655	"LINC00208"	"long intergenic non-protein coding RNA 208"	2150	0	0	0
83656	"FAM167A-AS1"	"FAM167A antisense RNA 1"	1909	0	0	0
83657	"DYNLRB2"	"dynein light chain roadblock-type 2"	1464	1	0.042403728	0.028964295
83658	"DYNLRB1"	"dynein light chain roadblock-type 1"	2460	1759	74.58815803	30.32038944
83659	"TEKT1"	"tektin 1"	3847	0	0	0
83660	"TLN2"	"talin 2"	15723	284	12.04265883	0.765926275
83661	"MS4A8"	"membrane spanning 4-domains A8"	2583	1147	48.63707633	18.82968499
83666	"PARP9"	"poly(ADP-ribose) polymerase family member 9"	8938	2038	86.41879822	9.668695258
83667	"SESN2"	"sestrin 2"	3453	879	37.27287715	10.79434612
83690	"CRISPLD1"	"cysteine rich secretory protein LCCL domain containing 1"	4543	1318	55.88811386	12.30202814
