	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
CRYBA2	1	1	0.27361189	0.215656922
PPP4R3A	616	703	32.3351957	29.08563464
SRSF2	1159	1177	94.71745509	75.81436213
MFSD6L	1	1	0.108101126	0.085203739
FBXO4	102	142	10.80443801	11.85547045
ENTPD1	135	131	2.468270954	1.88781224
FAM50B	103	212	15.0883798	24.47764779
CPD	2684	1970	70.58224002	40.8326522
SH3RF3	14	20	0.603856664	0.67993009
WISP2	126	161	16.82871584	16.94863574
FBXO24	3	3	0.293510936	0.231341062
TRAF6	75	115	2.264180174	2.73637742
WDFY1	299	324	15.52354421	13.25846182
COA7	80	184	9.163539163	16.61190788
DCSTAMP	0	4	0	0.384985126
MTOR	281	415	7.798644446	9.077982372
MYL9	692	705	139.9877974	112.409144
ZNF551	48	146	3.123631571	7.488586657
DCAKD	86	189	8.619454025	14.93040362
SPAG8	2	0	0.207672832	0
GTF2H3	382	424	27.07052138	23.68250032
WDR17	29	47	0.933685567	1.192693749
LRRC8B	227	340	6.818913358	8.050014634
CAMK2B	1	0	0.05276673	0
PAOX	13	15	1.618460047	1.471900075
LOC554206	7	8	1.634547403	1.472373203
SEC24A	441	364	15.12772579	9.841581102
MAP1LC3C	0	0	0	0
NHP2	421	721	119.3719976	161.1328424
MAPK7	80	186	5.834855961	10.69255603
COL21A1	1	2	0.052697829	0.083071328
NORAD	1471	546	66.66620521	19.50357131
ZNF460	11	16	0.664739642	0.762091845
ZNF527	21	51	0.992016576	1.898883183
SAMD10	15	57	1.66538186	4.98799333
PAQR6	5	6	0.504471922	0.477140941
NPAS3	0	0	0	0
CACNA2D1	4	0	0.123167102	0
RANBP6	321	337	16.817186	13.91575051
TLL2	25	25	0.89405746	0.704683121
NDUFC1	225	238	37.49688062	31.26209056
DPPA2P3	0	0	0	0
P2RX5	21	44	2.203239588	3.638509775
KIF22	221	280	22.08600142	22.05521477
BMP7	5	15	0.300355399	0.710207305
SERPINA6	0	1	0	0.127919823
PRKCH	108	109	6.775084046	5.389467623
TRNT1	90	154	9.579422863	12.91950855
ZNF747	82	137	5.57909942	7.346817523
LINC00271	0	1	0	0.116660377
SMG1P6	1	0	0.077313704	0
LMAN1L	0	0	0	0
POLR1C	154	348	25.17931428	44.846738
LOC102723769	0	1	0	0.138301722
SRR	29	26	2.816786662	1.990479657
PYROXD1	27	37	1.585343381	1.712338973
CEP126	13	14	0.446764801	0.379220731
LOC102724084	0	0	0	0
BUD31	142	244	32.96721589	44.64904682
IER3IP1	273	183	43.95345785	23.22255112
BCO2	1	1	0.080661733	0.063576408
C6orf52	12	17	3.298250021	3.682813165
MBD2	475	548	20.49894816	18.64004531
TBC1D15	216	200	8.883092533	6.482893219
PRELP	0	1	0	0.032798827
ANXA2	3380	3696	451.6861179	389.2964498
TCEAL3	50	8	10.76206766	1.357200899
CTGF	59	185	6.097586351	15.0697523
NEFL	36	46	2.270123647	2.286300342
GFM1	478	635	30.4594836	31.893105
PCBP4	113	109	12.13417163	9.225430166
LAMB1	103	224	4.26635166	7.313005185
SIAH1	115	88	11.14765816	6.723523267
PIK3R5	23	27	1.207582397	1.117329177
