	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
GLB1L	13	24	1.161588484	1.690240972
PLAC4	0	8	0	0.152547808
SNAI1	43	88	6.10334142	9.844877562
SYP	3	13	0.298577709	1.019783351
RNASE10	0	0	0	0
ZNF549	37	48	2.174089136	2.223029863
DYNLT3	208	132	22.72855445	11.36870112
PTPRK	154	200	5.67674904	5.810819801
NCF1B	0	1	0	0.125894707
LAMC2	459	534	17.09138148	15.67235199
PRPF4	509	869	41.59722575	55.9750898
TCF7L2	88	74	4.925772993	3.264764644
RPAIN	152	269	11.74793214	16.38696625
MOGS	382	734	31.95163093	48.38983774
TRMT11	64	113	7.943299555	11.0542135
CMTM7	62	99	7.366577226	9.271237125
LOC400867	0	0	0	0
NDRG3	314	251	25.14352117	15.84158415
CYB5D2	126	134	15.23999092	12.77460261
SLC35A1	73	110	9.274237216	11.01479612
HFM1	1	0	0.049106981	0
ZNF826P	2	2	0.761467051	0.600177284
SIRT1	493	672	26.8991067	28.89938822
KCNA6	1	1	0.040506277	0.03192646
ZNF182	28	39	1.881271539	2.065315949
OR13J1	0	0	0	0
MIR9-3HG	2	4	0.092475281	0.14577535
EID2	212	276	36.87863703	37.84221256
BCAS3	110	110	7.005817323	5.521883588
CAPZB	841	1014	63.87867795	60.70525899
APBA3	91	272	10.21099793	24.05604003
LHX5	0	1	0	0.091581754
NEDD8	207	334	80.19892821	101.9936475
LRRCC1	116	78	7.248773315	3.841754157
CXCL6	52	33	7.589884969	3.796419783
RRAS	194	406	47.64343341	78.58791969
SLC37A4	416	626	36.28708693	43.0389379
FBXO16	22	34	3.957818345	4.821037739
ZBTB2	172	222	12.83884151	13.06107138
SLC25A27	12	13	0.97312735	0.830921933
PTHLH	18	38	1.651624632	2.748216105
SDR39U1	11	36	1.901221803	4.904232369
ORMDL1	194	278	21.52906753	24.31625694
MAP1B	813	668	16.02875124	10.38039891
KLF3	363	478	15.6543522	16.24743507
E2F6	107	196	7.510051564	10.84285501
CDKN1B	402	472	38.59750277	35.71935355
TBC1D17	78	91	7.962659673	7.322061657
C17orf51	97	110	2.968682087	2.653463271
AURKB	339	567	54.04059979	71.24132021
CABLES1	172	245	7.948320964	8.923628285
LINC01311	10	17	2.14859381	2.878933805
LHFPL4	113	128	5.607081358	5.006068889
TFCP2	228	338	14.86121322	17.36459091
C6orf229	0	0	0	0
LINC01521	37	41	2.037621407	1.779647812
MYZAP	4	4	0.403914132	0.31835926
RPRD1A	2257	2173	103.0206788	78.17736209
GLCCI1	106	68	5.355212053	2.707747464
NHLH2	0	0	0	0
LGI4	0	1	0	0.066086003
RNF128	51	42	3.620484503	2.350034538
LOC731157	0	1	0	0.401802898
POLR2M	10	22	0.562216212	0.974887458
CTHRC1	147	106	23.65152079	13.44237601
PTCHD1	1	0	0.045765738	0
GLDC	88	103	5.594353891	5.160988912
DIP2A	168	219	5.069235609	5.208417
ERI3	265	470	36.563435	51.11253384
FANCE	89	202	8.434849507	15.08923211
CCDC155	5	3	0.508070756	0.2402724
RPSA	819	771	167.3569636	124.1774398
FAM83A	3171	3901	128.3380616	124.441037
C1orf50	25	60	5.964200059	11.28215033
HIST1H1E	2	11	0.616933815	2.674420561
SSBP3-AS1	1	0	0.092387075	0
ACOT6	2	12	0.48236359	2.281151909
LOC101927377	0	0	0	0
LINC00092	0	0	0	0
TPRG1-AS1	2	6	0.694825028	1.642953025
SIGIRR	23	42	3.015360051	4.339993399
DBH	0	0	0	0
ESX1	0	0	0	0
ATG10	49	46	4.890840724	3.618876057
GLCE	397	272	13.35540003	7.212133145
TFR2	8	30	0.64962179	1.920084269
AIFM3	6	5	0.574714847	0.377484922
NDUFS6	545	919	240.8209027	320.0675363
INPPL1	38	259	1.951552036	10.48394517
ZNF649-AS1	0	1	0	0.329062718
PDIA6	1567	1928	109.0982175	105.7996244
EML1	85	61	4.553640354	2.575716584
SEC14L1P1	42	65	3.954181159	4.823353213
CLIP1-AS1	0	1	0	0.213009349
TMEM176B	0	1	0	0.114080321
COL1A2	0	3	0	0.10581577
DNTTIP2	238	370	21.17225287	25.94300487
GAS2L1	176	196	16.54417234	14.52168081
EXOC2	221	288	11.54322292	11.85647895
LAMA1	101	253	2.532546211	5.00017223
RCOR3	136	206	6.606204021	7.886943537
PRPSAP2	284	377	31.97099598	33.45088512
ST3GAL6-AS1	1	4	0.314884945	0.992750982
ACOX1	119	43	3.638772088	1.036346027
KCNG3	25	70	1.583070884	3.493709819
C6orf120	184	394	10.49339617	17.71017718
ZNF488	55	78	3.809513367	4.25823723
UBE2N	529	732	50.19416549	54.74407034
TARBP2	144	281	17.53978834	26.97718399
KLHL29	65	96	3.095893775	3.603896958
LTA4H	939	928	90.69628421	70.64807231
CETP	0	0	0	0
CCDC151	6	10	0.644292299	0.84636974
NDST2	99	127	5.972223646	6.038555007
TM7SF3	486	596	27.09721618	26.19166482
LINC00460	3	6	0.793056296	1.250150937
FADS3	214	406	28.90092347	43.21678127
KNL1	151	137	4.757856198	3.402384328
GATA3	4	3	0.315500355	0.186504602
NFYC-AS1	3	0	0.228296533	0
SYCE3	0	7	0	2.69897906
CDRT15	1	0	0.427066177	0
DNAAF1	0	0	0	0
LINC00866	0	0	0	0
DOK5	0	0	0	0
PCDHA9	1	1	0.026166687	0.020624203
DAPK2	7	14	0.644986932	1.016738687
DIAPH3-AS1	0	1	0	0.194751404
CCRL2	0	0	0	0
PRSS22	17	46	2.97005114	6.33433861
PTGER3	0	0	0	0
INTS8	560	526	38.05839251	28.17582205
HHLA3	23	52	5.856330194	10.43589019
TMEM106C	875	1239	133.4245637	148.9112408
STX17-AS1	7	4	3.070698653	1.38301722
NTRK3	0	0	0	0
SLC8A1	10	23	0.38780673	0.70302637
MVB12A	201	368	27.60717584	39.83842683
PIP5K1P1	51	113	2.910552119	5.082906088
CCR10	14	28	2.725121634	4.295802684
STX8	86	116	21.51301748	22.87121866
SNORA29	0	0	0	0
TMEM245	3912	4813	118.4540697	114.8670426
NPM1	1331	1794	181.0657423	192.3574939
AMN1	47	28	4.730210537	2.221104962
CUTC	209	280	36.99460759	39.0641706
IL36B	0	1	0	0.102116841
PDF	16	51	3.345720516	8.405591706
CTSA	438	816	34.20192738	50.2221229
CHRM1	1	2	0.08577631	0.135215286
NBPF4	0	1	0	0.0763731
PRDM2	75	127	1.895125658	2.52934987
ATG4C	92	85	8.178223223	5.955503668
FPGT	84	29	4.307562024	1.172137847
MIR148B	0	0	0	0
RPL36AL	1543	638	647.5426066	211.0335669
TRIM65	253	508	17.81421057	28.1928
TBC1D22A-AS1	1	1	0.124114056	0.097824898
MAMSTR	2	4	0.212130112	0.334395754
MSRB2	77	95	10.29557273	10.01179225
NREP	61	67	4.334195383	3.752164676
SH3BGRL2	78	60	3.900749431	2.36501086
ITGA3	2474	4047	118.9812307	153.4053138
ACHE	3	28	0.235398434	1.731684556
AQP2	0	0	0	0
CAPS	1	2	0.112783662	0.177788893
DDX49	59	254	7.781396961	26.40387778
SLC25A14	45	65	6.251631387	7.117420806
EVA1C	26	53	2.465078145	3.960606088
LOC642423	2	4	0.395664252	0.623713648
FAM19A3	2	4	0.427443111	0.673808919
ANKRD35	0	0	0	0
FAM161A	62	59	3.8894001	2.917234768
LOC100507557	5	4	0.291391724	0.183736584
ABCA8	3	3	0.120992599	0.095364612
DLGAP1	0	2	0	0.051409125
BEND6	28	14	1.240867977	0.48901707
LOC105374177	0	1	0	0.127492569
TMIE	10	8	1.301163473	0.82044654
EFNA2	6	11	0.678281575	0.980121447
SDK1	36	41	0.820912968	0.736897206
YAE1D1	72	68	5.170388378	3.848823723
TTC9C	103	261	18.12579346	36.20168186
LOC101928295	11	15	0.816307615	0.877366119
IRF9	100	472	14.43066284	53.68546463
NSFL1C	296	389	20.05466442	20.77311987
CORT	0	0	0	0
GSE1	230	239	7.341642519	6.013007376
KLF13	598	775	20.33473113	20.77147756
TTC25	6	12	0.693498393	1.093210748
ZNF148	424	324	10.75868443	6.479876972
LOC100128386	3	1	0.389303091	0.102281016
TBL2	349	574	27.81735889	36.06042134
RBM12B-AS1	7	2	2.390727301	0.53838188
PRPSAP1	249	345	25.01845812	27.32176342
IL1A	1	1	0.082587491	0.065094262
GPR55	4	1	0.253026669	0.049857988
CBLN3	4	3	0.413219321	0.244270106
RNF222	0	0	0	0
PPP4R1L	5	10	0.504892666	0.79589815
DUSP26	0	2	0	0.186839331
ZSCAN20	11	22	0.6314869	0.995457629
KIAA1217	35	39	0.918314908	0.806522774
STAT2	167	326	8.887575656	13.67454477
LOC100507291	7	10	1.852487056	2.085862037
THSD4-AS1	0	0	0	0
EMC8	363	600	44.77798656	58.33613134
WDR59	163	296	10.0025046	14.31664658
ARHGAP29	1305	928	33.93119421	19.01800894
C19orf71	18	19	6.495733834	5.404278914
PRR34	4	7	0.527552336	0.727665923
NUDT12	167	105	11.55384835	5.725691291
KLC4	45	53	3.379836696	3.137527279
FREM1	1	0	0.023681811	0
LINC01186	3	3	1.109068041	0.874151342
AVPR2	0	0	0	0
RGS10	216	305	53.6998448	59.76508706
SNORD119	0	1	0	1.988087254
NACC2	165	496	5.791299636	13.72151945
MIR567	1	0	2.470882881	0
ABCA10	1	0	0.038247753	0
ITCH	514	456	17.97304152	12.56758233
SUSD4	14	27	1.053465293	1.601343121
FTH1	4934	5646	972.1325805	876.7901554
LENG9	20	39	2.526306963	3.882837078
CSF2	31	102	9.562474132	24.79917247
CCDC93	96	195	3.354894811	5.371192581
OR1F1	3	3	0.773631062	0.609764781
SLC35D3	0	0	0	0
GATA4	6	7	0.374164083	0.344062486
C1QTNF7	0	0	0	0
DDX18	444	647	28.55592455	32.79789522
KIRREL3	0	0	0	0
TUBA8	7	22	0.798034678	1.976855123
TMEM231	8	35	0.619895097	2.137591415
C11orf68	431	795	66.98661819	97.38820232
ZNF688	77	121	10.20540899	12.64018694
LINC00959	2	8	0.181315254	0.571640214
NRBP2	89	135	5.788622211	6.920658289
ZSCAN5A	17	22	1.159248347	1.182438829
INCA1	5	11	0.779608894	1.351848126
CASP1P2	0	0	0	0
UBE3A	646	701	29.62626012	25.33907573
ANKRD20A19P	0	2	0	0.074904386
EAPP	623	971	111.9119313	137.4788883
NABP1	223	464	13.44588508	22.05113512
MAN2A1	1558	1520	53.03124569	40.77898399
HNRNPM	775	1316	71.19254736	95.28338062
FAM192A	305	432	25.93212406	28.95012451
PEX14	67	140	8.423580996	13.87325685
AVPR1A	0	0	0	0
LBR	1233	1063	75.14892074	51.06476921
ENTHD1	0	0	0	0
HIST1H2AD	0	0	0	0
CCDC86	178	552	21.39061091	52.28422817
GPR75	3	5	0.336470388	0.442001798
CRIP3	1	5	0.253291341	0.998202805
SH2B2	19	39	2.364226066	3.824973627
SLC25A12	128	158	7.752564999	7.542598166
FAT1	118	423	1.935335251	5.468182553
DNAJB9	133	142	12.68931737	10.67833154
TMEM52	40	59	10.11050198	11.75420272
DNAL1	60	73	1.695308208	1.625731094
HAX1	786	1589	161.4310149	257.2271264
MAN1B1	226	439	18.87072899	28.89170663
HSPG2	239	515	4.034931245	6.85289227
GRK4	10	14	1.046441324	1.154705821
MRAS	120	181	5.66866615	6.739173649
PLXNA3	44	64	1.577969044	1.809065179
LOC729609	0	0	0	0
ITGB3BP	90	88	18.53162161	14.28176966
PRC1	779	710	59.13233258	42.4790054
TRIM74	0	0	0	0
C2orf73	0	3	0	0.29805785
FAF2	906	918	48.59019917	38.80534962
LGSN	68	19	2.922606234	0.643640602
CCL25	0	1	0	0.190475426
C8orf89	0	0	0	0
ROBO4	5	21	0.315541468	1.044561872
PRR29	12	15	0.935229568	0.921417974
PPY2P	0	0	0	0
HPN	1	1	0.102387536	0.080700371
FGFR1OP	96	106	6.222180447	5.415089908
PAF1	255	432	26.19743878	34.98088867
MAP10	26	25	1.154135579	0.874685501
FCGBP	2	4	0.029548081	0.046578737
LGALS3	610	617	72.40655816	57.72469815
FAM184A	15	28	0.872914644	1.284301499
ACSM6	0	0	0	0
CETN3	217	185	36.74531144	24.69120953
OPN3	117	126	10.76411213	9.136741422
CPZ	3	4	0.28599983	0.300561223
ANKDD1A	6	11	0.466863475	0.674620868
PRDX5	1262	1811	337.6673052	381.9236438
NDUFAF7	85	137	9.309115514	11.82601699
PLEKHG6	30	42	2.029160802	2.239097153
COPS4	205	221	26.18145416	22.24644471
ZNF207	687	855	71.61199349	70.24632019
GAL3ST4	6	4	0.571999659	0.300561223
C10orf111	0	0	0	0
LINC01058	0	0	0	0
GRINA	723	2235	88.95931691	216.7500006
RFX5	770	751	51.53477674	39.61667735
ZNF793-AS1	5	20	1.382114854	4.357451515
C1orf122	129	254	23.70022867	36.78112261
AOC1	0	2	0	0.15311382
SLC37A1	37	85	2.263051611	4.097699417
C19orf47	69	196	7.449001357	16.67759687
LOC105372038	0	0	0	0
LINC01468	0	0	0	0
PLA1A	2	0	0.252498981	0
KIF21B	25	34	0.609020429	0.652828652
BYSL	193	454	23.48456222	43.54210798
DUSP7	51	90	3.819818324	5.313044811
PI3	8	11	3.496700684	3.78956704
CKMT2-AS1	23	27	1.910590056	1.76779491
PTRH1	75	296	16.22965968	50.48569027
PARM1	48	45	2.299769108	1.69935436
LOC284080	6	7	0.573580393	0.527435703
GJD4	0	0	0	0
PLCG2	25	39	0.695263932	0.854875236
NPNT	9	4	0.46045187	0.161298438
OVGP1	4	25	0.432018773	2.128193314
LINC01135	0	0	0	0
MAGI2-AS3	38	10	0.988565519	0.205045527
ZNF730	4	0	0.409204094	0
LOC145474	0	1	0	0.103557448
KIAA0922	34	48	1.640362973	1.82528513
LYRM4	283	502	19.54019556	27.31961818
TMEM8A	151	506	10.00112825	26.41502365
AKAP11	438	446	10.69155008	8.580841115
IMPDH1	305	560	27.00354271	39.07845366
LINC00052	0	0	0	0
OR7E156P	0	0	0	0
DHRS4-AS1	82	122	5.810949615	6.814304337
NLRP11	4	6	0.239689703	0.28337992
TMCC1-AS1	11	16	0.7616848	0.873234779
MAGEA8	0	0	0	0
BCL9	213	208	8.329652659	6.411196106
RASSF8-AS1	9	6	2.010441606	1.056400607
DHX58	23	137	2.12815056	9.99133495
TMEM229B	29	73	1.726216605	3.424905476
IGFBP2	21	63	2.534933684	5.993993874
ASPHD1	29	62	4.751183457	8.006153813
FRAS1	233	344	3.410102128	3.968243788
USP43	51	69	2.965771528	3.16260566
BTG1	857	1522	44.34178839	62.0691036
WRN	151	138	6.363404956	4.583741723
PCF11-AS1	0	3	0	0.291532143
AP2A1	333	585	23.0450963	31.90939702
CHCHD10	337	867	113.1808295	229.5041308
RAPGEF5	51	67	1.864915832	1.931044581
ZKSCAN2	49	51	1.665054673	1.365938141
NBEAL1	167	191	4.464392718	4.024461017
ANAPC2	89	184	7.981866849	13.00650861
MIR6087	0	0	0	0
WASH3P	0	11	0	0.822012584
SCFD1	733	886	77.33917251	73.68137232
RHOQ	195	122	10.39598676	5.126481268
UPF3A	6	8	0.60891833	0.639920793
CHRM2	0	0	0	0
RAPSN	1	0	0.144911144	0
FBLIM1	278	206	17.84169977	10.42046476
GGCX	271	297	8.42492073	7.277486684
MIR553	0	0	0	0
PACSIN2	290	425	19.97794921	23.07651777
ALG13	117	119	5.231974722	4.194258317
CATSPER2P1	2	4	0.296203697	0.466926915
CHPF2	244	348	14.81538402	16.65446815
HAVCR1	1	0	0.126645671	0
LINC01133	0	0	0	0
LINC00304	0	0	0	0
RUNX3	107	158	5.435216676	6.325845913
SLC16A1	1098	681	56.95734395	27.84344308
LY96	1	2	0.393734183	0.620671143
OPRL1	31	24	2.0464946	1.248787632
MORN1	4	26	0.151863608	0.778028502
KIAA1210	0	1	0	0.024393709
SNX5	203	289	19.33742881	21.69846293
LMF1-AS1	0	2	0	0.258437883
UBR7	477	543	31.26797271	28.05495733
SLC7A4	6	6	0.628136245	0.495087876
TMCO3	527	546	41.35165823	33.76784883
MEF2D	576	365	22.96663871	11.47086734
ADRB2	204	439	24.19093563	41.03131696
STARD4	286	177	12.41999738	6.058389279
PLCZ1	0	0	0	0
DRC1	0	1	0	0.076495542
DDX24	484	822	39.7553992	53.21707645
DYNLRB1	211	455	25.09475256	42.65208804
SHB	279	635	11.2205414	20.12851669
HERC3	57	32	2.165754241	0.958324815
HSD17B13	0	0	0	0
HOXC9	30	76	4.794980641	9.57431327
TOX4	406	551	21.72149538	23.23505598
MFSD6	199	70	10.04526953	2.78506282
VAC14-AS1	6	2	0.652392966	0.171402224
A2M	0	0	0	0
ZNF584	81	285	8.074873739	22.3936053
MARK1	64	80	2.182114536	2.149888779
NIPA1	644	676	23.66707549	19.58095469
NRIP2	1	2	0.087197163	0.137455078
LINC00466	0	0	0	0
HTR3A	2	0	0.200951471	0
FAM200A	82	66	7.980713358	5.062910306
DDX11	32	54	1.973182764	2.624457429
PSMC6	235	226	35.72155227	27.07692471
PRDM5	28	40	1.267545827	1.427230334
ABCC5-AS1	0	0	0	0
RNF123	100	221	5.318394957	9.264058682
WDR55	76	120	7.132998334	8.877040762
PSPC1	250	414	19.2669098	25.14784845
ATP5J	591	823	78.80429225	86.49493269
APRT	944	1424	283.2544202	336.7775464
TEKT5	0	0	0	0
ARMC9	26	63	0.885985024	1.692084395
IGSF5	0	0	0	0
PSMD1	687	665	50.03147695	38.17127528
GRPEL2-AS1	0	0	0	0
USP12-AS2	0	0	0	0
MOGAT2	0	0	0	0
RBM26-AS1	3	12	0.293986065	0.926862208
PIK3IP1	8	4	0.783328823	0.308704208
YTHDF1	269	493	20.02995526	28.93363885
TEFM	71	112	12.83973345	15.96408824
SLC50A1	440	738	62.01657151	81.98603362
GAN	49	144	2.611175087	6.048265449
AKR7A3	3	9	0.585366291	1.384131658
MED13L	355	504	9.166348416	10.2571565
SERPINB4	5	0	0.684029724	0
RGS17	24	43	3.964199548	5.598106538
NUTM2D	0	0	0	0
SFT2D3	64	115	5.513118973	7.808069471
PRRC1	675	645	34.79116701	26.20314235
OSBPL11	148	243	7.726969666	9.999590224
MIR1254-1	1	1	2.496355901	1.967591509
C7orf13	53	137	5.606712838	11.42303345
PCED1A	117	196	11.78990558	15.56714514
C12orf45	43	151	16.7400329	46.33330037
GDNF	0	0	0	0
ZNF362	55	56	4.287848915	3.441067958
LOC105369509	0	0	0	0
EEFSEC	57	129	6.192172174	11.0455238
ZNF532	31	27	1.077597214	0.739753397
HMBOX1	35	41	1.817916835	1.678488081
NXPE3	170	111	4.547101381	2.340114634
CC2D2A	74	122	2.794143561	3.630824562
FOXA1	395	455	28.29818827	25.69220451
C11orf91	7	1	1.877104825	0.211358113
XPOT	1100	1234	67.48446279	59.66981719
KCNB2	0	0	0	0
ZNF696	45	123	2.326343618	5.01181347
ANHX	0	0	0	0
KLRF1	10	4	1.95122097	0.615169626
LBX2-AS1	10	24	0.988756727	1.870376902
ZBTB25	47	76	2.815657237	3.588590946
MAPKAPK5-AS1	112	246	11.86888862	20.54733855
CKMT1B	4	3	0.295210634	0.174510554
DSG1-AS1	0	0	0	0
RAP2A	303	159	16.83579538	6.963323507
NAV2	26	56	0.53544902	0.908994478
LOC105379143	0	0	0	0
FURIN	355	586	18.96778805	24.67825167
LOC101929224	1	1	0.329003427	0.259315729
RAB9A	121	212	21.51228282	29.70745359
PLAGL1	120	213	5.092461038	7.124501957
PCDHB7	5	4	0.322346276	0.203254927
UBA2	741	979	67.32854525	70.11196716
TSSC4	118	297	11.37019086	22.556444
SNORA6	4	0	6.500577782	0
HCG11	217	142	9.252649297	4.772249594
LXN	11	6	2.386748876	1.02610955
PSAT1	2295	3321	246.332566	280.9547987
ATP2B2	0	1	0	0.02053323
HOXA10-AS	0	1	0	0.164389644
TCF20	108	210	3.529261055	5.408885161
MAL2	1309	1055	112.44051	71.42727105
WFDC11	0	0	0	0
GOLGA8N	0	0	0	0
TNFAIP2	1500	2033	86.99875055	92.93676962
ATG2B	295	364	5.405465312	5.257035263
PET100	57	68	32.17331416	30.25229276
AHCYL2	195	208	8.172130817	6.870565297
ABCB8	133	251	6.801581304	10.11720179
ATP6V1E1	847	1418	145.9772985	192.6223073
CXADR	734	436	28.81107917	13.48895771
MSN	2656	2529	162.0002931	121.5808
LYPD5	20	37	1.721624759	2.510375374
LINC00943	1	0	0.107191909	0
MYH11	1	0	0.034881377	0
TANC1	175	220	5.641059826	5.58951049
ZNF813	10	19	0.578191314	0.865871813
SPEF2	11	24	0.381333106	0.65576994
PANDAR	118	452	18.97296789	57.28225905
PVR	428	925	16.99831254	28.95557621
ALKBH7	214	309	38.93264898	44.30850511
BOLL	2	1	0.133930599	0.052781078
HPCA	10	8	1.722237001	1.085953777
GAPVD1	337	351	8.734172968	7.170136799
CYB561	245	553	17.38742614	30.9330528
DUOXA2	2	2	0.336782368	0.265446977
ACOXL	7	12	0.714296526	0.965139704
LETM1	313	646	13.87621045	22.5729072
SEMA4B	2311	1832	136.8551267	85.50963109
ARL13A	1	0	0.157544907	0
ACOT7	257	465	26.04924916	37.14868774
HES4	64	298	14.90132445	54.68769246
NNT	657	530	32.82919216	20.87368541
NECAB3	99	244	11.75699152	22.83911517
MAB21L3	0	0	0	0
DTX1	3	11	0.220936608	0.638509775
PCDHGB3	8	1	0.4072256	0.040121164
ZNF667	30	62	1.592021843	2.593270948
SEMA3B	12	5	0.863267459	0.283506204
VIP	1	0	0.1525813	0
NAMPT	3253	1774	171.9499317	73.90945464
LOC51145	0	0	0	0
ENDOD1	207	153	10.68065846	6.22225135
PANX1	348	682	30.44327666	47.02458406
GALNT5	0	1	0	0.018125012
TRMT10B	26	82	2.615625086	6.501962137
USP36	74	478	3.026320327	15.40776016
HIC1	3	29	0.227438813	1.73288507
SCARA3	22	21	1.390194022	1.045924818
TRAPPC9	91	137	3.053677042	3.62352045
FBXO27	188	173	19.28963822	13.99074284
BCS1L	79	274	10.42483666	28.4984453
OCLM	1	1	0.273921405	0.215900878
MIR210HG	61	39	6.413781096	3.232044585
SLFN12L	1	5	0.137038213	0.540057658
FRG1	26	34	6.036250797	6.221588492
SPINK4	4	5	2.409418133	2.373835527
ZNF780B	36	32	1.006148985	0.704917364
DCLRE1A	300	507	15.66953337	20.87234315
EEF2	10790	6830	827.346731	412.7767735
TDG	88	272	6.568709608	16.00275412
GORASP1	116	275	7.427021839	13.87771113
C22orf24	4	2	0.606123961	0.238869057
SP140L	35	77	3.176584814	5.508223756
BCKDHB	107	82	6.777315693	4.093702031
CLK4	23	45	2.221527728	3.425822472
ARCN1	1508	1690	90.94818325	80.33556067
USF3	90	73	1.589931204	1.016452577
CYLC1	0	0	0	0
CHCHD3	341	579	30.89112014	41.34150465
CDIP1	80	143	6.709983301	9.453571812
ZNF441	3	7	0.163318248	0.300358506
RASSF9	1	1	0.134825458	0.10626747
C1orf229	0	2	0	0.169049049
PPP2R5C	831	540	39.96499704	20.46920422
FBXL3	313	219	21.35583587	11.77727428
EVI5L	71	102	4.470203611	5.06171357
NCAPD3	390	626	16.84873215	21.31598423
PPIB	195	343	45.9324629	63.68067811
HTATSF1	241	329	18.62665557	20.04205165
ROPN1L	6	0	1.347754299	0
WAC	435	551	17.67937852	17.65053095
ADAM22	89	82	2.220612106	1.612593804
FAM168A	461	408	15.28125213	10.65974012
WDR92	66	84	5.514724112	5.532068881
WDR86	4	6	0.436693458	0.516293173
RRBP1	60	43	3.831432316	2.164246884
LOC100506286	1	0	0.097718532	0
MED28	238	378	24.07304608	30.13521732
ELMOD2	309	146	16.97057732	6.320034237
FAM204A	132	196	11.55579933	13.52416839
LOC100507391	2	6	0.13279217	0.313994587
LIPG	25	33	1.452414362	1.511098949
LINC00536	0	0	0	0
MOSPD2	52	44	3.024650292	2.017218487
EGFLAM	0	0	0	0
PRRT4	7	24	0.47814546	1.292116511
IFT22	124	253	11.80738056	18.98807048
C17orf100	19	33	2.951112203	4.039936126
PSME2	204	544	59.58732276	125.2423025
UBL4A	220	471	22.36449829	37.73860339
CKS1B	238	315	62.37107395	65.06467377
NBEAP1	0	0	0	0
ZNF75D	31	22	1.107976708	0.619755023
DSTN	1210	757	167.8105911	82.74815402
ACE	2	5	0.092794222	0.182847649
LOC100132249	4	2	0.236298143	0.093123384
PDCD4	176	97	11.52455055	5.006238104
ACVR2A	63	66	2.802724768	2.314260673
DNAJC27-AS1	1	2	0.051807129	0.081667256
RPL26L1	98	159	25.24506297	32.28315303
ESR2	3	6	0.139915171	0.220558216
C10orf67	0	0	0	0
RHOB	282	371	28.77594577	29.8389025
GPHA2	1	0	0.324158664	0
LOC101559451	7	7	3.591156052	2.830497107
ANO6	362	331	12.25458424	8.831743406
FKBP1AP1	112	114	16.5066406	13.24262137
ZC3HC1	197	387	23.6386843	36.60129715
FXYD1	1	3	0.228224809	0.539650452
LPP	1226	767	16.06100608	7.919651627
HECTD2	125	136	4.707358522	4.036775612
FOXCUT	0	0	0	0
MRPL28	440	671	93.46006127	112.3373935
CAGE1	2	0	0.141399429	0
CHTOP	429	924	47.95976828	81.41795557
CNOT9	397	643	24.91761778	31.80939606
MLLT3	104	74	3.604299174	2.021378539
NSUN5P2	0	1	0	0.108011532
ZNF302	107	80	7.880072352	4.643707454
LOC440602	0	0	0	0
PILRB	0	0	0	0
ID1	1088	1132	213.8436821	175.3647874
CLDN11	361	964	30.57533913	64.35311187
GBAS	597	419	72.136464	39.90460165
SORBS3	389	551	28.6917445	32.03224593
CENPT	64	148	6.608689736	12.0455197
FADS1	1400	1066	76.69799351	46.03006724
ZNF675	51	58	5.59052632	5.011167872
CD69	0	0	0	0
CCND2-AS1	0	0	0	0
LINC00894	0	1	0	0.059980005
DHRS3	155	203	17.5714939	18.13850393
SNORD88C	1	0	2.496355901	0
PLEKHB1	71	74	5.944814346	4.883600225
LOC105370489	0	2	0	0.791935172
FAM177A1	630	631	43.48697523	34.33020909
BICD2	189	159	7.133056847	4.729763691
DLL4	2	1	0.141606153	0.055805958
PIAS1	283	163	10.53620323	4.783147194
SOCS6	243	258	10.06527625	8.4230149
ADAM15	879	1606	62.16319894	89.51966719
ATP5D	519	1051	126.1787602	201.3956341
LOC339874	0	0	0	0
MAZ	532	741	45.02689616	49.43186819
TXLNG	140	227	7.711672687	9.85541343
ITGA9	3	4	0.183351733	0.192686902
PCDHB8	4	5	0.357280004	0.352003645
ALS2CR11	8	10	0.261532628	0.25767028
ENO1-AS1	0	1	0	0.427929095
OVOL1	1	2	0.080127903	0.126311301
CARD11	16	12	0.862498744	0.509856749
9-Mar	63	145	5.110630121	9.27108026
IHH	0	1	0	0.092112151
DVL2	224	548	17.9843571	34.67814796
CASKIN2	46	93	2.150335913	3.426572008
CYP39A1	10	8	0.990779551	0.624734456
PTGES2	311	730	31.06747874	57.47737407
C18orf65	14	15	1.632972694	1.379020061
NCS1	529	863	25.56796614	32.87605845
ZRSR2	3	8	0.480767417	1.010490411
SNORD82	0	0	0	0
IGFBP7	0	0	0	0
CTRL	0	8	0	1.291752124
C10orf10	75	61	8.816014164	5.65157231
HIST1H2BE	1	0	0.556658672	0
LOC283788	15	9	0.991861779	0.46906264
RAB41	3	3	0.678281575	0.534611699
ZNF709	7	15	0.345994214	0.584373473
GOLGA8K	0	0	0	0
STARD13	80	152	2.576369436	3.858248332
KIAA1656	5	7	0.159202184	0.175673193
STC1	359	331	22.42213091	16.29441851
UNC119	212	301	29.95044501	33.51678488
EYA3	119	104	4.593565465	3.164205825
UBXN2B	213	149	9.700434318	5.348429581
ADRA1D	2	1	0.181655306	0.071589038
ZNF691	17	46	2.152976402	4.591732904
LOC102723885	1	0	0.421858053	0
NUAK2	75	175	5.283965429	9.717738105
ADAMTS6	6	10	0.194599402	0.255634043
POM121	88	203	2.313920509	4.207171724
ARL6IP4	525	732	67.94597768	74.66962454
