"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"14.0","pp","9606.ENSP00000312082 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000312082 (pp) 9606.ENSP00000380697","0.103","0.0","0.0","0.0","0.0",,"0.0","0.827","0.815"
"96.0","pp","9606.ENSP00000308208 (pp) 9606.ENSP00000348215","false","pp","9606.ENSP00000308208 (pp) 9606.ENSP00000348215","0.099","0.0","0.0","0.0","0.0",,"0.0","0.758","0.743"
"96.0","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000411940","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000411940","0.0","0.0","0.65","0.0","0.0",,"0.0","0.927","0.8"
"82.0","pp","9606.ENSP00000312082 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000312082 (pp) 9606.ENSP00000353874","0.086","0.0","0.4","0.292","0.0",,"0.0","0.869","0.703"
"6.0","pp","9606.ENSP00000312244 (pp) 9606.ENSP00000397552","false","pp","9606.ENSP00000312244 (pp) 9606.ENSP00000397552","0.132","0.0","0.9","0.212","0.0",,"0.0","0.931","0.12"
"402.0","pp","9606.ENSP00000312244 (pp) 9606.ENSP00000473172","false","pp","9606.ENSP00000312244 (pp) 9606.ENSP00000473172","0.136","0.0","0.9","0.071","0.0",,"0.0","0.927","0.204"
"800.0","pp","9606.ENSP00000397552 (pp) 9606.ENSP00000473172","false","pp","9606.ENSP00000397552 (pp) 9606.ENSP00000473172","0.412","0.0","0.9","0.917","0.0",,"0.0","0.999","0.987"
"5.0","pp","9606.ENSP00000397552 (pp) 9606.ENSP00000463154","false","pp","9606.ENSP00000397552 (pp) 9606.ENSP00000463154","0.148","0.0","0.9","0.292","0.0",,"0.0","0.937","0.087"
"1046.1391736918056","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000451291","false","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000451291","0.527","0.0","0.0","0.63","0.0",,"0.0","0.948","0.727"
"296.41926027189186","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000359645","false","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000359645","0.401","0.0","0.0","0.544","0.0",,"0.0","0.935","0.782"
"1101.9059239006606","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000356520","false","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000356520","0.43","0.0","0.0","0.785","0.0",,"0.0","0.956","0.67"
"2350.2263993316633","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000406162","false","pp","9606.ENSP00000313829 (pp) 9606.ENSP00000406162","0.137","0.0","0.0","0.787","0.0",,"0.0","0.955","0.775"
"2.0","pp","9606.ENSP00000314004 (pp) 9606.ENSP00000358474","false","pp","9606.ENSP00000314004 (pp) 9606.ENSP00000358474","0.047","0.0","0.9","0.0","0.0",,"0.0","0.902","0.06"
"406.0","pp","9606.ENSP00000314004 (pp) 9606.ENSP00000437659","false","pp","9606.ENSP00000314004 (pp) 9606.ENSP00000437659","0.0","0.0","0.9","0.0","0.0",,"0.0","0.9","0.0"
"112.39999999999993","pp","9606.ENSP00000314030 (pp) 9606.ENSP00000364802","false","pp","9606.ENSP00000314030 (pp) 9606.ENSP00000364802","0.243","0.391","0.563","0.274","0.0",,"0.041","0.881","0.314"
"406.0","pp","9606.ENSP00000358474 (pp) 9606.ENSP00000437659","false","pp","9606.ENSP00000358474 (pp) 9606.ENSP00000437659","0.055","0.0","0.9","0.0","0.0",,"0.0","0.901","0.0"
"299.5999999999999","pp","9606.ENSP00000314030 (pp) 9606.ENSP00000378199","false","pp","9606.ENSP00000314030 (pp) 9606.ENSP00000378199","0.242","0.398","0.563","0.556","0.0",,"0.041","0.919","0.233"
"100.87229437229439","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000472998","false","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000472998","0.112","0.0","0.0","0.866","0.0",,"0.0","0.953","0.641"
"324.0871060312236","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000358616","false","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000358616","0.06","0.0","0.0","0.739","0.0",,"0.0","0.832","0.369"
"297.8131992190815","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000396301","false","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000396301","0.35","0.0","0.9","0.8","0.0",,"0.0","0.985","0.0"
"361.40161243984755","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000365625","false","pp","9606.ENSP00000315379 (pp) 9606.ENSP00000365625","0.188","0.0","0.9","0.303","0.0",,"0.0","0.973","0.589"
"2.0","pp","9606.ENSP00000316786 (pp) 9606.ENSP00000480443","false","pp","9606.ENSP00000316786 (pp) 9606.ENSP00000480443","0.055","0.0","0.9","0.0","0.0",,"0.0","0.927","0.293"
"124.22461558049798","pp","9606.ENSP00000358616 (pp) 9606.ENSP00000418563","false","pp","9606.ENSP00000358616 (pp) 9606.ENSP00000418563","0.079","0.0","0.8","0.228","0.0",,"0.0","0.845","0.0"
"2.0","pp","9606.ENSP00000317714 (pp) 9606.ENSP00000359025","false","pp","9606.ENSP00000317714 (pp) 9606.ENSP00000359025","0.667","0.0","0.9","0.906","0.0",,"0.0","0.999","0.999"
"10.0","pp","9606.ENSP00000316786 (pp) 9606.ENSP00000358421","false","pp","9606.ENSP00000316786 (pp) 9606.ENSP00000358421","0.046","0.0","0.9","0.0","0.0",,"0.0","0.959","0.607"
"16.0","pp","9606.ENSP00000359025 (pp) 9606.ENSP00000418572","false","pp","9606.ENSP00000359025 (pp) 9606.ENSP00000418572","0.055","0.0","0.4","0.589","0.0",,"0.0","0.97","0.889"
"16.0","pp","9606.ENSP00000317714 (pp) 9606.ENSP00000418572","false","pp","9606.ENSP00000317714 (pp) 9606.ENSP00000418572","0.055","0.0","0.9","0.906","0.0",,"0.0","0.999","0.999"
"408.0","pp","9606.ENSP00000360782 (pp) 9606.ENSP00000365883","false","pp","9606.ENSP00000360782 (pp) 9606.ENSP00000365883","0.056","0.0","0.0","0.811","0.0",,"0.045","0.816","0.045"
"1858.174415837573","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000406162","false","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000406162","0.0","0.0","0.9","0.073","0.0",,"0.0","0.928","0.295"
"1333.6157578289162","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000363804","false","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000363804","0.055","0.0","0.75","0.096","0.0",,"0.0","0.86","0.424"
"408.0","pp","9606.ENSP00000408979 (pp) 9606.ENSP00000409594","false","pp","9606.ENSP00000408979 (pp) 9606.ENSP00000409594","0.0","0.0","0.0","0.0","0.0",,"0.0","0.775","0.775"
"2963.179733574467","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000372191","false","pp","9606.ENSP00000339527 (pp) 9606.ENSP00000372191","0.0","0.0","0.75","0.333","0.0",,"0.0","0.987","0.929"
"4.0","pp","9606.ENSP00000399403 (pp) 9606.ENSP00000408979","false","pp","9606.ENSP00000399403 (pp) 9606.ENSP00000408979","0.087","0.0","0.9","0.87","0.0",,"0.0","0.999","0.971"
"12.0","pp","9606.ENSP00000335358 (pp) 9606.ENSP00000357759","false","pp","9606.ENSP00000335358 (pp) 9606.ENSP00000357759","0.0","0.0","0.5","0.486","0.0",,"0.0","0.841","0.433"
"24.0","pp","9606.ENSP00000357759 (pp) 9606.ENSP00000357776","false","pp","9606.ENSP00000357759 (pp) 9606.ENSP00000357776","0.111","0.0","0.5","0.0","0.0",,"0.0","0.826","0.642"
"12.0","pp","9606.ENSP00000357759 (pp) 9606.ENSP00000357766","false","pp","9606.ENSP00000357759 (pp) 9606.ENSP00000357766","0.084","0.0","0.5","0.33","0.0",,"0.0","0.757","0.302"
"8.0","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000430075","false","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000430075","0.0","0.0","0.678","0.0","0.0",,"0.0","0.797","0.396"
"812.0","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000358894","false","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000358894","0.042","0.0","0.0","0.0","0.0",,"0.0","0.79","0.79"
"408.0","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000364212","false","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000364212","0.048","0.0","0.9","0.0","0.0",,"0.0","0.937","0.4"
"1600.0","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000498074","false","pp","9606.ENSP00000339479 (pp) 9606.ENSP00000498074","0.047","0.0","0.9","0.0","0.0",,"0.0","0.907","0.103"
"400.0","pp","9606.ENSP00000430075 (pp) 9606.ENSP00000498074","false","pp","9606.ENSP00000430075 (pp) 9606.ENSP00000498074","0.067","0.0","0.9","0.0","0.0",,"0.0","0.923","0.249"
"408.0","pp","9606.ENSP00000358894 (pp) 9606.ENSP00000358896","false","pp","9606.ENSP00000358894 (pp) 9606.ENSP00000358896","0.044","0.0","0.0","0.0","0.438",,"0.0","0.818","0.69"
"1146.0230640389843","pp","9606.ENSP00000372191 (pp) 9606.ENSP00000438689","false","pp","9606.ENSP00000372191 (pp) 9606.ENSP00000438689","0.065","0.0","0.0","0.51","0.0",,"0.0","0.778","0.556"
"1190.5824244955827","pp","9606.ENSP00000363804 (pp) 9606.ENSP00000370270","false","pp","9606.ENSP00000363804 (pp) 9606.ENSP00000370270","0.0","0.0","0.0","0.067","0.0",,"0.0","0.798","0.792"
