"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"161","AP2A2","","adaptor related protein complex 2 subunit alpha 2(AP2A2)","Homo sapiens"
"162","AP1B1","","adaptor related protein complex 1 subunit beta 1(AP1B1)","Homo sapiens"
"163","AP2B1","","adaptor related protein complex 2 subunit beta 1(AP2B1)","Homo sapiens"
"164","AP1G1","","adaptor related protein complex 1 subunit gamma 1(AP1G1)","Homo sapiens"
"165","AEBP1","","AE binding protein 1(AEBP1)","Homo sapiens"
"167","CRISP1","","cysteine rich secretory protein 1(CRISP1)","Homo sapiens"
"172","AFG3L1P","","AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)","Homo sapiens"
"173","AFM","","afamin(AFM)","Homo sapiens"
"174","AFP","","alpha fetoprotein(AFP)","Homo sapiens"
"175","AGA","","aspartylglucosaminidase(AGA)","Homo sapiens"
"176","ACAN","","aggrecan(ACAN)","Homo sapiens"
"177","AGER","","advanced glycosylation end-product specific receptor(AGER)","Homo sapiens"
"178","AGL","","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase(AGL)","Homo sapiens"
"181","AGRP","","agouti related neuropeptide(AGRP)","Homo sapiens"
"182","JAG1","","jagged canonical Notch ligand 1(JAG1)","Homo sapiens"
"183","AGT","","angiotensinogen(AGT)","Homo sapiens"
"185","AGTR1","","angiotensin II receptor type 1(AGTR1)","Homo sapiens"
"186","AGTR2","","angiotensin II receptor type 2(AGTR2)","Homo sapiens"
"187","APLNR","","apelin receptor(APLNR)","Homo sapiens"
"189","AGXT","","alanine--glyoxylate aminotransferase(AGXT)","Homo sapiens"
"190","NR0B1","","nuclear receptor subfamily 0 group B member 1(NR0B1)","Homo sapiens"
"191","AHCY","","adenosylhomocysteinase(AHCY)","Homo sapiens"
"196","AHR","","aryl hydrocarbon receptor(AHR)","Homo sapiens"
"197","AHSG","","alpha 2-HS glycoprotein(AHSG)","Homo sapiens"
"199","AIF1","","allograft inflammatory factor 1(AIF1)","Homo sapiens"
"203","AK1","","adenylate kinase 1(AK1)","Homo sapiens"
"204","AK2","","adenylate kinase 2(AK2)","Homo sapiens"
"205","AK4","","adenylate kinase 4(AK4)","Homo sapiens"
"207","AKT1","","AKT serine/threonine kinase 1(AKT1)","Homo sapiens"
"208","AKT2","","AKT serine/threonine kinase 2(AKT2)","Homo sapiens"
"210","ALAD","","aminolevulinate dehydratase(ALAD)","Homo sapiens"
"211","ALAS1","","5'-aminolevulinate synthase 1(ALAS1)","Homo sapiens"
"212","ALAS2","","5'-aminolevulinate synthase 2(ALAS2)","Homo sapiens"
"213","ALB","","albumin(ALB)","Homo sapiens"
"214","ALCAM","","activated leukocyte cell adhesion molecule(ALCAM)","Homo sapiens"
"215","ABCD1","","ATP binding cassette subfamily D member 1(ABCD1)","Homo sapiens"
"216","ALDH1A1","","aldehyde dehydrogenase 1 family member A1(ALDH1A1)","Homo sapiens"
"217","ALDH2","","aldehyde dehydrogenase 2 family member(ALDH2)","Homo sapiens"
"218","ALDH3A1","","aldehyde dehydrogenase 3 family member A1(ALDH3A1)","Homo sapiens"
"219","ALDH1B1","","aldehyde dehydrogenase 1 family member B1(ALDH1B1)","Homo sapiens"
"220","ALDH1A3","","aldehyde dehydrogenase 1 family member A3(ALDH1A3)","Homo sapiens"
"221","ALDH3B1","","aldehyde dehydrogenase 3 family member B1(ALDH3B1)","Homo sapiens"
"222","ALDH3B2","","aldehyde dehydrogenase 3 family member B2(ALDH3B2)","Homo sapiens"
"223","ALDH9A1","","aldehyde dehydrogenase 9 family member A1(ALDH9A1)","Homo sapiens"
"224","ALDH3A2","","aldehyde dehydrogenase 3 family member A2(ALDH3A2)","Homo sapiens"
"225","ABCD2","","ATP binding cassette subfamily D member 2(ABCD2)","Homo sapiens"
